decade,country,name,n
1500,AFG,Afghanistan,2
1500,CAN,Canada,1
1500,COL,Colombia,1
1500,DEU,Germany,3
1500,FRA,France,1
1500,ITA,Italy,1
1500,NLD,Netherlands,1
1510,AUT,Austria,1
1510,DEU,Germany,2
1510,FRA,France,2
1510,GBR,United Kingdom,1
1510,NLD,Netherlands,1
1520,ARG,Argentina,1
1520,AUS,Australia,1
1520,AUT,Austria,1
1520,BLZ,Belize,1
1520,DEU,Germany,1
1520,ESP,Spain,1
1520,ITA,Italy,2
1520,NLD,Netherlands,1
1520,SYR,Syria,1
1530,AUT,Austria,1
1530,CAN,Canada,2
1530,DEU,Germany,4
1530,GRC,Greece,1
1530,ITA,Italy,4
1540,AUT,Austria,1
1540,BEL,Belgium,1
1540,CHE,Switzerland,1
1540,DEU,Germany,3
1540,FRA,France,1
1540,ITA,Italy,1
1540,LBN,Lebanon,1
1540,NLD,Netherlands,1
1550,BEL,Belgium,1
1550,BGD,Bangladesh,1
1550,CHE,Switzerland,1
1550,DEU,Germany,2
1550,ECU,Ecuador,1
1550,FRA,France,1
1550,GBR,United Kingdom,1
1550,ITA,Italy,3
1560,ATG,Antigua & Barbuda,1
1560,AUS,Australia,2
1560,BEL,Belgium,2
1560,BRB,Barbados,1
1560,CAN,Canada,1
1560,CHN,China,1
1560,COL,Colombia,1
1560,DEU,Germany,2
1560,GBR,United Kingdom,2
1560,HRV,Croatia,1
1560,ITA,Italy,2
1570,AUS,Australia,2
1570,AUT,Austria,1
1570,BRB,Barbados,1
1570,CAN,Canada,1
1570,CHE,Switzerland,1
1570,DEU,Germany,1
1570,IDN,Indonesia,1
1570,ITA,Italy,3
1580,ATG,Antigua & Barbuda,1
1580,AUS,Australia,1
1580,AUT,Austria,1
1580,BEL,Belgium,1
1580,BLZ,Belize,1
1580,CAN,Canada,3
1580,CHE,Switzerland,1
1580,DEU,Germany,2
1580,FRA,France,3
1580,GBR,United Kingdom,1
1580,ITA,Italy,2
1580,NLD,Netherlands,1
1580,USA,United States,1
1590,AFG,Afghanistan,1
1590,ATG,Antigua & Barbuda,1
1590,AUS,Australia,1
1590,BEL,Belgium,1
1590,BLZ,Belize,1
1590,BRB,Barbados,1
1590,DEU,Germany,2
1590,DZA,Algeria,1
1590,ESP,Spain,1
1590,FRA,France,2
1590,ITA,Italy,2
1590,NLD,Netherlands,1
1590,POL,Poland,1
1600,AUS,Australia,2
1600,BEL,Belgium,1
1600,BFA,Burkina Faso,1
1600,CAN,Canada,2
1600,CHN,China,1
1600,COL,Colombia,1
1600,CUB,Cuba,1
1600,DEU,Germany,1
1600,FRA,France,5
1600,ITA,Italy,5
1600,NLD,Netherlands,1
1610,ATG,Antigua & Barbuda,1
1610,AUS,Australia,5
1610,BEL,Belgium,1
1610,BLZ,Belize,1
1610,CAN,Canada,2
1610,DNK,Denmark,1
1610,GBR,United Kingdom,1
1610,HRV,Croatia,1
