"name","birth","death","won_award","country","age","field","profession"
"Alexander Grothendieck",1920,"2014",1,"COL",94,"Geometry","Researcher"
"Johannes Hudde",1620,"1704",0,"COL",84,"General","Researcher"
"Morris Kline",1900,"1992",1,"AUS",92,"General","Researcher"
"James Stirling (mathematician)",1690,"1770",1,"AUS",80,"Combinatorics","Researcher"
"Heinrich Wilhelm Brandes",1770,"1834",0,"DEU",64,"Physics","Researcher"
"Chen Jingrun",1930,"1996",0,"CHN",66,"Number Theory","Researcher"
"Jan Arnoldus Schouten",1880,"1971",0,"COL",91,"Geometry","Researcher"
"James R. Jackson",1920,"2011",0,"AUS",91,"Applied Mathematics","Researcher"
"Carl Gustav Jacob Jacobi",1800,"1851",1,"DEU",51,"Geometry","Researcher"
"R. W. H. T. Hudson",1870,"1904",0,"AUS",34,"Geometry","Researcher"
"Luigi Cremona",1830,"1903",1,"COL",73,"Geometry","Researcher"
"Helmut Hasse",1890,"1979",1,"CMR",89,"Number Theory","Researcher"
"Nikolai Sergeevich Bakhvalov",1930,"2005",1,"RUS",75,"Applied Mathematics","Researcher"
"Solomon W. Golomb",1930,"2016",1,"COL",86,"Combinatorics","Researcher"
"Yehoshua Bar-Hillel",1910,"1975",0,"AUT",65,"Logic","Researcher"
"Claude Shannon",1910,"2001",1,"USA",91,"Probability","Researcher"
"Étienne-Louis Malus",1770,"1812",1,"CAN",42,"Physics","Researcher"
"Børge Jessen",1900,"1993",0,"DNK",93,"Analysis","Researcher"
"Nail Bakirov",1950,"2010",0,"KAZ",60,"Probability","Researcher"
"Erling Sverdrup",1910,"1994",0,"AUT",84,"Computer Science","Researcher"
"Isaac Barrow",1630,"1677",0,"BLZ",47,"Physics","Theologist"
"Jacob Tamarkin",1880,"1945",0,"UKR",65,"Analysis","Researcher"
"Ludwig Boltzmann",1840,"1906",1,"AUT",66,"Physics","Physicist"
"Sandy Green (mathematician)",1920,"2014",1,"AUS",94,"Algebra","Researcher"
"Charles Dupin",1780,"1873",1,"FRA",93,"Geometry","Researcher"
"Ivan M. Niven",1910,"1999",0,"CAN",89,"Number Theory","Researcher"
"D. D. Morduhai-Boltovskoi",1870,"1952",0,"KAZ",82,"Analysis","Researcher"
"Anatoly Karatsuba",1930,"2008",1,"RUS",78,"Analysis","Researcher"
"Tiberiu Popoviciu",1900,"1975",0,"IRN",75,"General","Researcher"
"Yom Tov Lipman Lipkin",1840,"1876",0,"LTU",36,"Geometry","Researcher"
"Lev Schnirelmann",1900,"1938",0,"BLR",38,"Number Theory","Researcher"
"Kurt Leichtweiss",1920,"2013",0,"DEU",93,"Geometry","Researcher"
"Henry P. H. Bromwell",1820,"1903",0,"COL",83,"Geometry","Researcher"
"J. W. S. Cassels",1920,"2015",1,"ARG",95,"Number Theory","Researcher"
"Arnaud Denjoy",1880,"1974",1,"FRA",94,"General","Researcher"
"Jarl Waldemar Lindeberg",1870,"1932",0,"FIN",62,"Probability","Researcher"
"Eric Temple Bell",1880,"1960",0,"GBR",80,"Combinatorics","Researcher"
"John Backus",1920,"2007",1,"BRA",87,"Computer Science","Researcher"
"Felix Berezin",1930,"1980",0,"RUS",50,"Algebra","Researcher"
"Wilhelm Ackermann",1890,"1962",0,"DEU",72,"General","Researcher"
"Leonty Magnitsky",1660,"1739",0,"RUS",79,"Geometry","Researcher"
"Ernest Michael",1920,"2013",1,"CHE",93,"Analysis","Researcher"
"Marcel-Paul Schützenberger",1920,"1996",0,"CAN",76,"Combinatorics","Researcher"
"Evgeny Yakovlevich Remez",1890,"1975",0,"BLR",85,"General","Researcher"
"Sergey Nikolsky",1900,"2012",1,"RUS",112,"Applied Mathematics","Researcher"
"John Edensor Littlewood",1880,"1977",1,"AUS",97,"Analysis","Researcher"
"Yuri Linnik",1910,"1972",1,"UKR",62,"Number Theory","Researcher"
"Claude Berge",1920,"2002",1,"CAN",82,"Combinatorics","Researcher"
"Charles Sanders Peirce",1830,"1914",0,"AUS",84,"Algebra","Researcher"
"Moritz Cantor",1820,"1920",0,"DEU",100,"Applied Mathematics","Researcher"
"John Hammersley",1920,"2004",1,"AUS",84,"Probability","Researcher"
"Saunders Mac Lane",1900,"2005",1,"USA",105,"None","Researcher"
"Victor Lidskii",1920,"2008",1,"UKR",88,"Analysis","Researcher"
"Gottfried Wilhelm Leibniz",1640,"1716",1,"DEU",76,"Analysis","Researcher"
"Viktor Bunyakovsky",1800,"1889",0,"AFG",89,"Analysis","Researcher"
"Leopold Kronecker",1820,"1891",0,"POL",71,"Number Theory","Researcher"
"Vera Kublanovskaya",1920,"2012",0,"RUS",92,"None","Researcher"
"Yuri Petunin",1930,"2011",0,"RUS",81,"Statistics","Researcher"
"Gilbert Ames Bliss",1870,"1951",0,"BLZ",81,"Analysis","Researcher"
"Josiah Willard Gibbs",1830,"1903",1,"BLZ",73,"Analysis","Researcher"
"Bernhard Neumann",1900,"2002",1,"COL",102,"Algebra","Researcher"
"Sakabe Kohan",1750,"1824",0,"IDN",74,"None","Researcher"
"Heinrich Martin Weber",1840,"1913",0,"AUS",73,"None","Researcher"
"Aleksey Letnikov",1830,"1888",0,"RUS",58,"Geometry","Researcher"
"Andrei Bolibrukh",1950,"2003",0,"RUS",53,"Analysis","Researcher"
"Arthur Milgram",1910,"1961",0,"BRA",51,"Analysis","Researcher"
"Mark Naimark",1900,"1978",0,"UKR",78,"Algebra","Researcher"
"Charles B. Morrey Jr.",1900,"1984",0,"USA",84,"Analysis","Researcher"
"William Sealy Gosset",1870,"1937",0,"AUS",67,"Statistics","Statician"
"Klaus Fischer (mathematician)",1940,"2009",0,"CZE",69,"Algebra","Researcher"
"Yakov Geronimus",1890,"1984",0,"RUS",94,"Analysis","Researcher"
"Sergey Stechkin",1920,"1995",0,"RUS",75,"Analysis","Researcher"
"Arthur Geoffrey Walker",1900,"2001",1,"CAN",101,"Geometry","Researcher"
"Eugene Wigner",1900,"1995",1,"HUN",95,"Physics","Researcher"
"Stanislaw Mazur",1900,"1981",0,"UKR",81,"Applied Mathematics","Researcher"
"Otto Hölder",1850,"1937",0,"DEU",87,"Algebra","Researcher"
"Henry Helson",1920,"2010",0,"AUS",90,"Analysis","Researcher"
"Carl Wilhelm Borchardt",1810,"1880",0,"COL",70,"None","Researcher"
"Christian Heinrich von Nagel",1800,"1882",0,"DEU",82,"Geometry","Researcher"
"Ernst Leonard Lindelöf",1870,"1946",0,"FIN",76,"Topology","Researcher"
"Shiing-Shen Chern",1910,"2004",1,"CHN",94,"Geometry","Researcher"
"Alexis Clairaut",1710,"1765",1,"CAN",55,"General","Astronomer"
"David Francis Barrow",1880,"1970",0,"GRC",90,"Geometry","Researcher"
"Edward Norton Lorenz",1910,"2008",1,"USA",98,"General","Researcher"
"Raymond Louis Wilder",1890,"1982",1,"AUS",92,"Topology","Researcher"
"Friedrich Robert Helmert",1840,"1917",0,"AUT",77,"Physics","Researcher"
"Arthur Herbert Copeland",1890,"1970",1,"AUS",80,"Probability","Researcher"
"John L. Kelley",1910,"1999",0,"USA",89,"Topology","Researcher"
"Emil Artin",1890,"1962",1,"AUT",72,"None","Researcher"
"Ðuro Kurepa",1900,"1993",1,"HRV",93,"General","Researcher"
"Ruth Moufang",1900,"1977",0,"DEU",77,"None","Researcher"
"Marston Morse",1890,"1977",1,"CAN",87,"Topology","Researcher"
"James Cullen (mathematician)",1860,"1933",0,"IRL",73,"Number Theory","Researcher"
"Sofya Yanovskaya",1890,"1966",1,"BLR",76,"Metamathematics","Researcher"
"Jakob Steiner",1790,"1863",0,"CHE",73,"Geometry","Researcher"
"George F C Griss",1890,"1953",0,"COL",63,"Analysis","Researcher"
"Donald Dines Wall",1920,"2000",0,"NIC",80,"Number Theory","Researcher"
"William Stanley Jevons",1830,"1882",1,"AUS",52,"Applied Mathematics","Philosopher"
"Thomas M. Cover",1930,"2012",1,"ARG",82,"Probability","Researcher"
"José Celestino Mutis",1730,"1808",0,"COL",78,"Applied Mathematics","Researcher"
"Nathaniel Bowditch",1770,"1838",0,"DEU",68,"General","Researcher"
"Tom M. Apostol",1920,"2016",0,"USA",96,"Number Theory","Researcher"
"Edmund Landau",1870,"1938",0,"COL",68,"Number Theory","Researcher"
"Édouard Goursat",1850,"1936",1,"FRA",86,"Analysis","Researcher"
"Ivan Pervushin",1820,"1900",0,"RUS",80,"Number Theory","Researcher"
"Lipman Bers",1910,"1993",1,"AFG",83,"General","Researcher"
"Richard Arenstorf",1920,"2014",0,"DEU",94,"Number Theory","Researcher"
"Tullio Levi-Civita",1870,"1941",0,"BGD",71,"Geometry","Researcher"
"Aleksandr Gennadievich Kurosh",1900,"1971",1,"RUS",71,"Algebra","Researcher"
"Frank Adams",1930,"1989",1,"AUS",59,"Topology","Researcher"
"Jean-Victor Poncelet",1780,"1867",1,"AUS",87,"General","Researcher"
"James Whitbread Lee Glaisher",1840,"1928",1,"BRB",88,"Number Theory","Researcher"
"Rusinš Martinš Freivalds",1940,"2016",1,"LVA",76,"General","Researcher"
"Paul Dirac",1900,"1984",1,"CAN",84,"Physics","Researcher"
"Marcel Brillouin",1850,"1948",1,"BEL",98,"Physics","Researcher"
"Erasmus Reinhold",1510,"1553",0,"DEU",43,"Physics","Researcher"
"Klaus Wagner",1910,"2000",0,"BRA",90,"Combinatorics","Researcher"
"Christopher Zeeman",1920,"2016",1,"IDN",96,"Topology","Researcher"
"Julian Sochocki",1840,"1927",0,"JAM",87,"Number Theory","Researcher"
"Joachim Lambek",1920,"2014",0,"DEU",94,"None","Researcher"
"Daniel Gorenstein",1920,"1992",1,"BOL",72,"Algebra","Researcher"
"Greg Hjorth",1960,"2011",1,"AUS",51,"Logic","Researcher"
"Nicolaas Govert de Bruijn",1910,"2012",0,"NLD",102,"Combinatorics","Researcher"
"Kunihiko Kodaira",1910,"1997",1,"JPN",87,"Geometry","Researcher"
"Andrey Markov, Jr.",1900,"1979",1,"RUS",79,"Logic","Researcher"
"Henri Lebesgue",1870,"1941",1,"FRA",71,"Analysis","Researcher"
"Antonio Maria Bordoni",1780,"1860",0,"ITA",80,"Analysis","Researcher"
"Hidehiko Yamabe",1920,"1960",0,"JPN",40,"Geometry","Researcher"
"George Uhlenbeck",1900,"1988",1,"IDN",88,"Physics","Physicist"
"Marcel Grossmann",1870,"1936",0,"HUN",66,"Geometry","Researcher"
"Jon Barwise",1940,"2000",1,"BLZ",60,"Logic","Researcher"
"Horace Lamb",1840,"1934",1,"AUS",94,"General","Researcher"
"Jean Baptiste Meusnier",1750,"1793",1,"FRA",43,"General","Researcher"
"Vyacheslav Stepanov",1880,"1950",1,"RUS",70,"Analysis","Researcher"
"Jack Silver",1940,"2016",0,"USA",76,"Combinatorics","Researcher"
"Alberto Calderón",1920,"1998",1,"ARG",78,"Analysis","Researcher"
"Abduhamid Juraev",1930,"2005",1,"TJK",75,"Analysis","Researcher"
"Konrad Knopp",1880,"1957",0,"COL",77,"Analysis","Researcher"
"Evangelista Torricelli",1600,"1647",0,"ITA",47,"Physics","Researcher"
"Hermann Grassmann",1800,"1877",0,"POL",77,"None","Researcher"
"Werner Fenchel",1900,"1988",0,"COL",88,"Geometry","Researcher"
"Ronald Ross",1850,"1932",1,"ESP",82,"Applied Mathematics","Doctor"
"Radhanath Sikdar",1810,"1870",0,"IND",60,"General","Researcher"
"Ralph Fox",1910,"1973",1,"USA",63,"Topology","Researcher"
"Giacinto Morera",1850,"1909",0,"ITA",59,"Analysis","Researcher"
"J. V. Uspensky",1880,"1947",0,"MNG",67,"Probability","Researcher"
"Nikolai Efimov",1910,"1982",1,"RUS",72,"Geometry","Researcher"
"David Blackwell",1910,"2010",1,"CAN",100,"Probability","Researcher"
"Donald G. Higman",1920,"2006",0,"CAN",86,"Algebra","Researcher"
"Francesco Severi",1870,"1961",0,"HRV",91,"Geometry","Researcher"
"Élie Cartan",1860,"1951",1,"FRA",91,"Geometry","Researcher"
"Alexander Kronrod",1920,"1986",1,"RUS",66,"Analysis","Researcher"
"Arthur Prior",1910,"1969",0,"NZL",59,"Logic","Researcher"
"Maryam Mirzakhani",1970,"2017",1,"IRN",47,"Geometry","Researcher"
"Evgenii Landis",1920,"1997",1,"UKR",77,"Analysis","Researcher"
"Raymond Paley",1900,"1933",0,"GBR",33,"Analysis","Researcher"
"Helge von Koch",1870,"1924",0,"SWE",54,"Number Theory","Researcher"
"Nathan Jacobson",1910,"1999",1,"JAM",89,"None","Researcher"
"Tibor Gallai",1910,"1992",1,"HUN",82,"Combinatorics","Researcher"
"Roger Apéry",1910,"1994",1,"BRB",84,"Number Theory","Researcher"
"Ludolph van Ceulen",1540,"1610",0,"DEU",70,"General","Researcher"
"Leonid Kantorovich",1910,"1986",1,"RUS",76,"Applied Mathematics","Researcher"
"Nikolai Nikolaevich Yanenko",1920,"1984",1,"ARM",64,"Geometry","Researcher"
"Johannes Acronius Frisius",1520,"1564",0,"NLD",44,"Applied Mathematics","Researcher"
"Christoph Gudermann",1790,"1852",0,"DEU",62,"General","Researcher"
"John Pell",1610,"1685",0,"GBR",75,"Number Theory","Researcher"
"Rafael Bombelli",1520,"1573",0,"ITA",53,"None","Researcher"
"Vladimir Andreevich Yakubovich",1920,"2012",1,"RUS",92,"Computer Science","Researcher"
"Richard Stone",1910,"1991",1,"BLZ",81,"Applied Mathematics","Economist"
"Otto Schreier",1900,"1929",0,"AUT",29,"Algebra","Researcher"
"Kurt Gödel",1900,"1978",1,"CZE",78,"Combinatorics","Researcher"
"Kazimierz Ajdukiewicz",1890,"1963",0,"UKR",73,"Logic","Philosopher"
"Claude Gaspard Bachet de Méziriac",1580,"1638",0,"FRA",58,"Number Theory","Researcher"
"Egon Pearson",1890,"1980",1,"GBR",90,"Statistics","Researcher"
"Johan de Witt",1620,"1672",0,"NLD",52,"Analysis","Researcher"
"Leonard Gillman",1910,"2009",1,"AUS",99,"Combinatorics","Researcher"
"Ivan Vsevolodovich Meshcherskiy",1850,"1935",1,"RUS",85,"Physics","Researcher"
"Mihailo Petrovic",1860,"1943",0,"BEL",83,"General","Researcher"
"Robert P. Dilworth",1910,"1993",0,"USA",83,"Algebra","Researcher"
"Nikolai Nikolayevich Vorobyov (mathematician)",1920,"1995",0,"RUS",75,"Topology","Researcher"
"Serge Lang",1920,"2005",1,"FRA",85,"Number Theory","Researcher"
"Konstantin Andreev",1840,"1921",0,"RUS",81,"Geometry","Researcher"
"Edwin Spanier",1920,"1996",1,"AUS",76,"Topology","Researcher"
"Ernst Kolman",1890,"1979",0,"CZE",89,"General","Teacher"
"Sergei Fomin",1910,"1975",0,"RUS",65,"Algebra","Researcher"
"Edward Nelson",1930,"2014",0,"USA",84,"Combinatorics","Researcher"
"Charles Hermite",1820,"1901",1,"FRA",81,"None","Researcher"
"Anatolii Goldberg",1930,"2008",0,"RUS",78,"Analysis","Researcher"
"Nikolai Kochin",1900,"1944",0,"RUS",44,"General","Researcher"
"Ernst Specker",1920,"2011",0,"CHE",91,"Combinatorics","Researcher"
"Andreas Floer",1950,"1991",0,"BEL",41,"Topology","Researcher"
"Wilhelm Blaschke",1880,"1962",1,"AUT",82,"Geometry","Researcher"
"Ernst Zermelo",1870,"1953",1,"COL",83,"Logic","Researcher"
"Benjamin Peirce",1800,"1880",0,"DEU",80,"None","Researcher"
"Wilhelm Wirtinger",1860,"1945",0,"AUT",85,"General","Researcher"
"Jakob Hermann",1670,"1733",0,"BEL",63,"Physics","Researcher"
"György Elekes",1940,"2008",0,"HUN",68,"Combinatorics","Researcher"
"Francesco Maria Grimaldi",1610,"1663",0,"ITA",53,"Physics","Physicist"
"Deane Montgomery",1900,"1992",1,"USA",92,"Topology","Researcher"
"Boris Moishezon",1930,"1993",1,"UKR",63,"Geometry","Researcher"
"Pierre-Simon Laplace",1740,"1827",1,"FRA",87,"Physics","Researcher"
"Georgiy Shilov",1910,"1975",1,"BGR",65,"Analysis","Researcher"
"Joseph Diaz Gergonne",1770,"1859",0,"BOL",89,"Geometry","Researcher"
"John R. Stallings",1930,"2008",1,"USA",78,"Algebra","Researcher"
"Oleg Lupanov",1930,"2006",1,"RUS",76,"Combinatorics","Researcher"
"Nikolai Smirnov (mathematician)",1900,"1966",1,"RUS",66,"Probability","Researcher"
"Harry Rauch",1920,"1979",0,"CAN",59,"Geometry","Researcher"
"Poul Heegaard",1870,"1948",0,"DNK",78,"Topology","Researcher"
"Boris Delaunay",1890,"1980",1,"RUS",90,"Algebra","Researcher"
"Joseph Wolstenholme",1820,"1891",0,"FRA",71,"Number Theory","Researcher"
"Oskar Anderson",1880,"1960",0,"BLR",80,"General","Researcher"
"Georgy Adelson-Velsky",1920,"2014",0,"ETH",94,"General","Researcher"
"Ivan Ivanovich Zhegalkin",1860,"1947",1,"RUS",87,"Logic","Researcher"
"Émile Borel",1870,"1956",1,"FRA",86,"Probability","Researcher"
"Marina Ratner",1930,"2017",1,"RUS",87,"General","Researcher"
"Carl Friedrich Gauss",1770,"1855",1,"AUS",85,"Number Theory","Researcher"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Combinatorics","Researcher"
"Clive Granger",1930,"2009",1,"AUS",79,"Applied Mathematics","Economist"
"Nikolai Luzin",1880,"1950",1,"RUS",70,"Analysis","Researcher"
"Christian Wiener",1820,"1896",0,"DEU",76,"Geometry","Researcher"
"René-Louis Baire",1870,"1932",0,"CAN",62,"Topology","Researcher"
"Victor Andreevich Toponogov",1930,"2004",0,"RUS",74,"Geometry","Researcher"
"William Wallace (mathematician)",1760,"1843",0,"AUS",83,"Geometry","Researcher"
"Jacob Wolfowitz",1910,"1981",1,"USA",71,"Probability","Researcher"
"Carl Adam Petri",1920,"2010",1,"DEU",90,"General","Researcher"
"Herman Wold",1900,"1992",0,"NOR",92,"Probability","Researcher"
"Jacques Philippe Marie Binet",1780,"1856",0,"FRA",76,"Physics","Researcher"
"René de Saussure",1860,"1943",0,"CHE",83,"General","Researcher"
"Vincenzo Riccati",1700,"1775",0,"ITA",75,"General","Researcher"
"David George Kendall",1910,"2007",1,"CAN",97,"Probability","Researcher"
"Nikolai Aleksandrovich Shanin",1910,"2011",0,"RUS",101,"Topology","Researcher"
"László Kalmár",1900,"1976",1,"HUN",76,"Logic","Researcher"
"Eugene Lukacs",1900,"1987",0,"HUN",87,"Probability","Researcher"
"Richard Friederich Arens",1910,"2000",0,"DEU",90,"Analysis","Researcher"
"Edwin E. Moise",1910,"1998",1,"BRB",88,"Geometry","Researcher"
"Martin Eichler",1910,"1992",0,"DEU",82,"Number Theory","Researcher"
"George Piranian",1910,"2009",0,"CHE",99,"Analysis","Researcher"
"Max Dehn",1870,"1952",0,"DEU",82,"Algebra","Researcher"
"Andrew M. Gleason",1920,"2008",0,"COL",88,"Analysis","Researcher"
"John Forbes Nash Jr.",1920,"2015",1,"USA",95,"Analysis","Researcher"
"Renato Caccioppoli",1900,"1959",0,"ITA",59,"Analysis","Researcher"
"Klaus Matthes",1930,"1998",1,"COL",68,"Probability","Researcher"
"Piers Bohl",1860,"1921",0,"BEL",61,"Analysis","Researcher"
"Waclaw Sierpinski",1880,"1969",1,"JAM",89,"Number Theory","Researcher"
"Martin Löb",1920,"2006",0,"COL",86,"Logic","Researcher"
